index,place,name,rating,review
14,Kota Lama Semarang,Sylfia Haryadi,5.0,We spent a lot of time with Sonora radio station during Sonora fun rally from Jakarta to Semarang...Thanks to Sonora happy golden birthday 50 years more bless and success and become more a head in radio station services....Visited on Weekend Wait time 1 hr+ Reservation recommended No …More
15,Kota Lama Semarang,Akmal Andromeda,5.0,"An interesting tour to visit even though in the Semarang area. The old city is very hot or hot or day or night, and also the tourist attractions are clean. I want to go there again with my friends."
16,Kota Lama Semarang,ana purna,4.0,"a very nice place to walk around, alas the heat in Semarang was unbearable. go after 5 PM. it’s very rare that historical buildings are preserved in Indonesia, so enjoy the atmosphere!"
17,Kota Lama Semarang,Alyssa Juana Anggara,5.0,"Entrance: FreeLocation: A lot of photo spots, a lot of unique buildings, numbers of cafe be choices to choose.Visited on Weekday Wait time No wait Reservation recommended Yes …More"
18,Kota Lama Semarang,Akbar Insani,5.0,Love the ambiance. You could go for a walk and see many beautiful well maintained old buildings here.Visited on Weekday Wait time No wait …More
19,Kota Lama Semarang,Caraka EventOrganizer,5.0,"Awesome.. chic n homey, good food, nice view. One stop service, great: amphitheatre, resto, purinku, kobi's brew, cemil dining resto. Marvellous.. #salamcarakaVisited on Public holiday Wait time No wait Reservation recommended No …More"
20,Kota Lama Semarang,Ayi Nurmalaila,5.0,"Lots of historical buildings with a warm ambience and lovely pedestals to walk in, if you love landscapes or historical buildings, then you come to the right place"
21,Kota Lama Semarang,Nona Manis,5.0,"Nice places to enjoy the old vibes. They have a big parking lot and you just walking around the kota lama semarang and take picture there. Amazing, will come back soon!Visited on Weekday Wait time 10–30 min Reservation recommended No …More"
22,Kota Lama Semarang,Tuti Buntaran,5.0,I love this place. So old. So beautiful. So unik. Easy to walk around. Many cafe restaurant from different level.Visited on Weekday Wait time No wait Reservation recommended No …More
23,Kota Lama Semarang,sakti soemawinata,5.0,The city is nice with an old building... But the weather is hot. Come to the afternoon and you will enjoy the city and food.Visited on Weekday Wait time No wait Reservation recommended No …More
24,Kota Lama Semarang,Ratih Indriyani Rakhmawati,5.0,"Nice place to spend time with family for exercise and relax, some spots for photograph, people mostly sit around Srigunting park, in the morning also able to feed doves"
25,Kota Lama Semarang,Dina Ardiana,4.0,Beautiful oude neerderland building style. It's well preserved and there are still many more buildings need to be restored.
26,Kota Lama Semarang,Vreo Agus,5.0,You can have so many great photo spot in here. Especially historical buildings.
27,Kota Lama Semarang,Kai Emblem,4.0,"Great place to sightsee, take photos and enjoy the moment with your family and friends."
28,Kota Lama Semarang,Cindhy Yuanita,5.0,Want to cry. This place is really good I swear. Severe aesthetics❤️❤️❤️. And lots of cats here
29,Kota Lama Semarang,Demina Sitepu,5.0,"So many instagrammable spots. The best time to visit is from 5-7 pm so you can take great pictures of buildings, parks and the blue sky. You can also have dinner at Nasi Goreng Babat Pak Parmin nearby.Visited on Weekday Wait time No wait Reservation recommended No …More"
30,Kota Lama Semarang,Muhammad Arif,5.0,"Nice place for hanging out with friends and it is an iconic and instagramable place in Semarang as it is old city. If you visit Semarang, you should visit here"
31,Kota Lama Semarang,Lindung Ainanda,5.0,Always be an icon of Semarang. Good to bring your kids here while telling them the history.Visited on Weekday Wait time No wait Reservation recommended No …More
32,Kota Lama Semarang,Gunawan Anindyamantri,5.0,"Kota Lama (Semarang Oude Stad / Little Netherland) is a part of Semarang you must visit when you traveling to Semarang. Not only because there many photo spots that are instagramable, but also here you can find many cafe, restaurant while enjoying the atmosphere of Kota Lama which is totally different with 5 - 10 years ago."
33,Kota Lama Semarang,Yohana Dian Kartika Pangkey,5.0,I love the ambiance of old cityYou can walk in the main road during weekend because the road will be closed for public transportationVisited on Weekend Wait time No wait Reservation recommended No …More
34,Kota Lama Semarang,Suliyanto Wijaya,5.0,"Hot, humid yoo and so crowed. With minus Garbage can. Overall so good 🙂"
35,Kota Lama Semarang,Toto Hermanto Setiawan,5.0,Great place to stroll around while you're in Semarang. Nicely preserved!
36,Kota Lama Semarang,Luci Wahyuni,4.0,Little Netherland of the east...it's a vintage destination just like time capsule...nostalgic place and getaway😊Visited on Weekend Wait time No wait …More
37,Kota Lama Semarang,Abdullah Hinduan,5.0,"It was good experience visit Kota Lama Semarang. So many good spot for taking pictures. The place really comfortable, clean and well managed. There are so many chair for just sit and relax. Or we can take a sips at coffee shop. Just cant wait the pandemic over, so we can freely walk around this area without wearing a mask 😀👍"
38,Kota Lama Semarang,Satiul Komariah,5.0,"Nice place for walking around and hanging out either solely or with friends. There are alot of cafes and restaurants, with amazing view from the old town."
39,Kota Lama Semarang,Kristina Hariyani,4.0,Quite clean & organized. A lot of places to take esthetic oldies photos. But expect it to be striking hot in the afternoon.
40,Kota Lama Semarang,Galih SMG,5.0,"Filled with Dutch colonial heritage buildings. Now it is well organized. Building and road access improvements have been carried out. There are several buildings that were not used before and are now being used again without changing the original shape of the buildings. An excellent place to relax, walk around, biking, and selfies. Here you can find a place to eat with a variety of menu choices. Local food, coffee, western, mini market, etc. lots of parking available. Access to the Old City is very easy. If you don't use a private vehicle, many public vehicles go there."
41,Kota Lama Semarang,SAM,5.0,"Impressive, not enough for only a few days there. More to go"
42,Kota Lama Semarang,May Ling Chung,4.0,Wonderful place to dig our hometown history.Visited on Public holiday Wait time No wait Reservation recommended No …More
43,Kota Lama Semarang,Shanish Travel Vlog,5.0,A beautiful heritage site bothered by traffic as wellVisited on Weekend Wait time No wait Reservation recommended No …More
44,Kota Lama Semarang,Astrid Huang,5.0,This was my 1st time to Semarang and I loved it!! The city is so rich in culture and the people are super nice and friendly. I never expected that from a capital of a province. I am thinking of coming back soon because there are still some places I need to visit!! And by far they have many options of AMAZING FOOD!!!
45,Kota Lama Semarang,Reza Fidhi,5.0,Nice place with well preserved heritage.
46,Kota Lama Semarang,4_Pandhu Ardita,5.0,"Really nice place to spend your time... Yeah, there are a lot of historical building you can look for... Remember to bring your camera and don't loose moment there... If you see that Kota Lama have some good dishes like sate kambing and nasi koyor, you must try it...."
47,Kota Lama Semarang,Wafiq nzr,5.0,Good place for taking photos of the building
48,Kota Lama Semarang,Intan Subadri,4.0,"The old city of Semarang will never disappoint! The legendary church called Blenduk amazed us with the architecture. There are lots of local foods there. Besides, get some rest and fresh air in Taman Srigunting!"
49,Kota Lama Semarang,lian Julianti,5.0,Stunning renovation love it so much better than old city of jakarta
50,Museum Kota Lama,BLESSING INDONESIA,3.0,Beautiful architecture n design. Love the glass bridge. The Jateng province did an excellent job renovating the whole old town area. Sadly the museum is not maintained maximally. Why removing all the beautiful water lilies n fishes from the beautiful pond. Used to be so beautiful. Now so empty
51,Museum Kota Lama,Yulifar Widodo,4.0,"Unfortunately it was closed when we came here so we found it more like a monument rather than a museum. Despite the attractive design and location, the museum feels empty with little to none information available of what the museum had in its disposal. Accessing the museum itself is a big problem for some, thanks to the traffic around the roundabout."
52,Museum Kota Lama,Viva Chandra,5.0,"One of educational tourism destination while you’re in Semarang. Near Kota Lama Semarang, a famous tourism destination. You can learn about Semarang’s history. The guide are so friendly."
53,Museum Kota Lama,Do Ryang Kim,5.0,You must booking on ‘Lunpia’ app.Must be on time for reservation.Listen to the guide at the same time as the person.Takes about 30 minutes😉
54,Museum Kota Lama,W NKS,1.0,"We didn’t go inside because I have to login with certain app that won’t work with te mobile phone that we use. It wasn’t practical, even to cross the street since the place was in a middle of “round about” there’s no sign of pedestrian crossing. The water pond was nothing so it wasn’t great to look at . When it come to museum, there’s just be away that visitor can visit with ease not to complicate"
55,Museum Kota Lama,ana purna,3.0,"nice architecture, unfortunately it was closed when we visited."
56,Museum Kota Lama,yanuar,5.0,"Educative, we get to know how the history of the city of Semarang"
57,Museum Kota Lama,Dwi Suseno,5.0,"The Museum is not open for public yet on the day we came. However outside landscape is very good, represents a gate of Old City of Semarang. It'll be an iconic monument for tourists to get photographs here. Plan to come again next visit to Semarang to know what exactly shown inside the Museum."
58,Museum Kota Lama,Hans W,5.0,Beautiful architecture. The guide was very informative.
59,Museum Kota Lama,Meida Aryani,5.0,KerenVisited on Weekend Wait time 1 hr+ …More
60,Museum Kota Lama,Faizal Suarsy,5.0,nice place..Visited on Weekend Wait time No wait Reservation recommended Not sure …More
61,Museum Kota Lama,Audi Rizka Pratama,5.0,Good
62,Museum Kota Lama,Bayu Candra,5.0,Good
63,Museum Kota Lama,Mohamad Moh Rondi,4.0,okVisited on Public holiday …More
64,Museum Kota Lama,Jojok Sadikin,3.0,No one goes thereVisited on Weekend Wait time No wait Reservation recommended No …More
65,Museum Kota Lama,Lisha Billa,5.0,Good
66,Museum Kota Lama,Sutriyono Triyono,5.0,NICE
67,Museum Kota Lama,Foxy Noxy,5.0,"(Translated by Google) The mini museum is quite informative for the visitors. Very suitable for historical and educational tours for children..even for adults it will still feel interesting. Here you will be treated to information on the history of the old city of Semarang and some information about the old railway lines in Semarang, which the Guide clearly and concisely narrates, accompanied by an LCD Projector with 3D nuances that adds to its allure. There are also some historical relics that are also neatly lined up in some parts of the museum space. The duration of the visit is divided into several sessions, when you take a free ticket in the Lunpia application, you can choose the time session you want (quota applies). Like most places...here also implements a health protocol for visitors, accompanied by a Peduli Protect application or a vaccination letter. The staff are all friendly and informative. The unique part is....here we have to take off our shoes/slippers. The staff will ask visitors to take off their shoes, lend a bag to carry our footwear during the tour inside the museum . That's cute. 😂 And one important thing is...we are not allowed to do things like vlogging or take photos/videos with professional cameras for the sake of similar content/commercials. But if it's only for personal documentation with a cellphone camera / simple camera...then it's allowed. The museum is closed every Monday. Opening time from 09.00-10.00 Closing time 15.00-15.30. Enjoy the Tour !! (Original) Museum mini yang cukup informatif bagi para pengunjung. Sangat cocok untuk wisata sejarah dan edukasi bagi anak-anak..bahkan bagi usia dewasa pun akan tetap terasa menarik. Di sini anda akan disuguhi informasi sejarah kota lama Semarang dan beberapa informasi mengenai jalur kereta api tempo dulu di Semarang, yang dengan lugas dan jelas diceritakan oleh Guide..disertai dengan LCD Projector nuansa 3D yang menambah daya pikatnya. Pun ada juga beberapa barang peninggalan sejarah yang turut pula berjajar rapi di dalam beberapa bagian ruang museum. Durasi kunjungan terbagi dalam beberapa sesi,saat anda mengambil tiket gratis di aplikasi Lunpia,maka anda dapet memilih sesi waktu yang anda inginkan ( kuota berlaku ). Seperti kebanyakan tempat...di sini pun menerapkan protokol kesehatan bagi pengunjung, disertai aplikasi Peduli Lindungi ataupun surat vaksinasi. Staff semua ramah dan informatif. The unique part is....here we have to take off our shoes/slippers. Pihak staff akan meminta pengunjung melepas alas kaki, meminjamkan tas untuk tempat membawa alas kaki kita selama tour di dalam museum 😁. That's cute. 😂 Dan satu hal yang penting adalah...kita tidak diperbolehkan melakukan hal sejenis vlogging ataupun mengambil foto/video dengan professional camera demi kepentingan konten/komersial sejenis. Namun apabila hanya untuk dokumentasi pribadi saja dengan kamera hp/ kamera simple..maka diperbolehkan. Museum tutup tiap hari Senin. Waktu buka mulai kisaran pk 09.00- 10.00 Waktu tutup pk 15.00-15.30. Enjoy the Tour !!"
68,Museum Kota Lama,Yohana Defrita Rufikasari,5.0,"(Translated by Google) A museum that combines immersive technology with the history of Semarang to the history of the Old City of Semarang. The tour guide is also quite interactive and masters historical material. We recommend ordering tickets the day before through the lunpia app. Fill in your personal data and select the desired session. Then on the day and time of the session you choose, arrive early (don't be late). The officer will ask us: 1. Check in on the careprotect application 2. Check the QR code from ticket booking 3. Check body temperature 4. Take off your shoes and put them in a cloth bag for each of us to take with us during the museum tour. 5. If a large bag such as a backpack will be asked by the officer to be stored in a locker. 6. When it is time, the tour guide will start guiding the participants. Participants are approximately 20 people per session. During the tour we are NOT ALLOWED TO RECORD to be monitored, aka we are not allowed to make vlogs. Not allowed to shoot with a professional camera. If you want to take photos/record for Instagram content needs with a cellphone, that's okay. For about 30 minutes we are invited to get to know Semarang and the formation of the old city. Including the findings of the former SJS railway company tram depot under the museum. It doesn't hurt to go to the Semarang Old Town Museum. OYes 1 application can be used to book tickets for 2 people. (Original) Museum yang menggabungkan teknologi imersive dengan sejarah Semarang sampai sejarah Kota Lama Semarang. Tour guide juga cukup interaktif dan menguasai materi sejarah. Sebaiknya memesan tiket sehari sebelumnya melalui aplikasi lunpia. Isi data diri dan pilih sesi yang diinginkan. Kemudian di hari dan jam sesi yang dipilih, datanglah lebih awal (jangan terlambat). Petugas akan meminta kita: 1. Check in di aplikasi pedulilindungi 2. Check QR code dari pemesanan tiket 3. Check suhu badan 4. Melepas alas kaki dan menyimpannya di tas kain untuk kita bawa masing-masing selama tur museum. 5. Kalau tas besar seperti ransel akan diminta petugas untuk disimpan di loker. 6. Jika sudah jamnya maka tour guide akan memulai memandu peserta. Peserta kurang lebih 20 orang per sesi. Selama tour kita TIDAK DIPERBOLEHKAN MEREKAM untuk dimonitize alias tidak boleh membuat vlog. Tidak boleh memotret dengan kamera profesional. Kalau mau foto/rekam u/keperluan konten instagram dengan handphone boleh boleh aja. Selama kurang lebih 30 menit kita diajak mengenal Semarang dan terbentuknya Kota lama. Termasuk temuan bekad depo trem perusahaan kereta api SJS di bawah museum. Nggak rugi dolan ke Museum kota lama semarang. OYa 1 aplikasi bisa untuk memesan tiket untuk 2 orang."
69,Museum Kota Lama,maksum hudaya,5.0,"(Translated by Google) First time visiting the old city museum which is located at the Bubakan roundabout or still in the area of ​​the old city. Here's the summary 1. It is very important to remember that if you want to visit this museum, you cannot directly or buy tickets directly on the spot, but you have to buy tickets online by the Lunpia application (ios & android available). Where each 1 account is a maximum of 2 people (if more than 2, create an account 2). Open every day and of course it's FREE 2. Easy access and for parking there are directions to the museum parking lot next to Indomaret 3. When entering the shoes, both shoes and sandals must be removed and to enjoy the museum 30 minutes and assisted by a tour guide who explains the various history of the old city from time to time 4. Photos or videos are allowed to be uploaded on social media, but content is not allowed. 5. The content is about the history of the old city in a modern way because there is a screen that explains the history of the old city from time to time 6. There is also a collection of historical photos of buildings in the old city and also some items from the past from the old city 7. The most important thing is to be on schedule and keep clean This museum is good for historical education for children or young people. What is certain is that tourists who visit the city of Semarang must stop by. (Original) First time mengunjungi museum kota lama yang berlokasi di bundaran bubakan atau masih area dari kota lama. Berikut untuk rangkumannya 1. Wajib banget diingat kalau mau mengunjungi museum ini tidak bisa langsung atau beli tiket langsung ditempat melainkan harus beli tiket online by aplikasi Lunpia (ios & android ada). Dimana setiap 1 akun maksimal 2 orang saja (kalau lebih dari 2 ya buat akun 2). Setiap hari buka dan pastinya GRATISSS 2. Aksesnya mudah dan untuk parkir ada petunjuk arah parkir museum disebelah indomaret 3. Saat masuk alas kaki dicopot baik sepatu, sendal harus dicopot dan untuk menikmati museum 30 menit dan dibantu oleh tour guide yg menjelaskan berbagai sejarah kota lama dari waktu ke waktu 4. Boleh foto- foto atau video untuk upload di socmed hanya saja tidak boleh dibuat konten. 5. Isinya mengenai sejarah kota lama secara modern karena ada layar yangg menjelaskan sejarah kota lama dari waktu ke waktu 6. Ada juga koleksi foto-foto sejarah bangunan dikota lama dan juga beberapa barang tempo dulu peninggalan kota lama 7. Yang terpenting harus sesuai jadwal dan jaga kebersihan Museum ini bagus buat edukasi sejarah buat anak2 atau anakmuda. Yang pastinya wisatawan yang ke kota semarang wajib mampir deh."
70,Museum Kota Lama,Prince Lez,4.0,"(Translated by Google) The place is located in the middle of the roundabout. To visit here, you can park in the front area of ​​Indomaret or in the jurnatan shopping area. For the free park area, there is no ticket, the park area is very hot during the day and there is no shelter, so waiting for the museum time to enter is very hot. If you want to enter the museum, you must download the Lunpia application and register there, 1 application is a maximum of 2 people, and you can register on D-7 unless the museum is closed on Mondays. Try not to register on the D day because it will be full. There are 5 sessions a day, and one session is a maximum of 30 people in 30 minutes. The ticket is free, or there is no charge at all. When we enter, we are required to take off our footwear and store it in a cloth bag on loan, we will bring it ourselves until the tour is over. Inside we are presented about the history of the city of Semarang from the time it was formed from the beginning until now, there are also some relics from the past that were found here. Very good for knowledge Semarang people. The way the tour guide explains it is also good and sometimes jokes to lighten the mood. Inside the place is air-conditioned and clean. (Original) Tempatnya terletak di tengah bundaran bubakan. Untuk mengunjungi di sini bisa parkir di area depan indomaret atau di area pertokoan jurnatan. Untuk di area tamannya bebas tidak dikenakan tiket, area taman panas sekali kalau siang dan tidak ada tempat berteduhnya, jadi kalah menunggu jam masuk museum terasa panas sekali. Kalau ingin masuk museumnya harus mendownload aplikasi lunpia dan mendaftar di sana, 1 aplikasi maksimal 2 orang, dan bisa mendaftar H-7 kecuali hari senin museumnya tutup. Diusahakan tidak mendaftar pada hari H karena pasti penuh. Ada 5 sesi sehari, dan satu sesi maksimal berjumlah 30 orang dalam waktu 30menit. Untuk tiketnya gratis alias tidak dikenakan biaya sama sekali. Waktu masuk kita diharuskan melepaskan alas kaki dan menyimpan di tas kain yang dipinjamkan, kita bawa sendiri sampai tour selesai. Di dalam kita disuguhkan tentang sejarah kota semarang dari jaman terbentuk dari awal sampai sekarang, juga ada beberapa peninggalan dari jaman dulu yang ditemukan di sini. Sangat bagus untuk pengetahuan orang semarang. Cara tour guide menjelaskannya juga bagus dan kadang juga bercanda untuk mencairkan suasana. Di dalam tempatnya ber-AC dan bersih."
71,Museum Kota Lama,Yoga Efendi,5.0,"(Translated by Google) MUST VISIT TO UNDERSTAND! I and a group from the Tourism Office of Sleman DIY and HPI Sleman DIY made a visit to the Old City Museum with the DPC HPI Semarang. We were guided by the sweet Mbak who unfortunately I forgot her name. The explanation is very good, although there are 1-2 pieces of information that need to be corrected regarding past history, but it's not fatal. The service spirit is very good, friendly, and tries to answer every question well. The museum is cool because it uses multimedia (Audio Visual) to make it easier to understand the past history of the Old City of Semarang. Very cool. Moreover, at the end of the session there is a cool song. The tour is about 1 hour and is very good and recommended to visit. Thank you for service. (Original) WAJIB DIKUNJUNGI AGAR PAHAM! Saya bersama rombongan dari Dinas Pariwisata Sleman DIY dan HPI Sleman DIY melakukan kunjungan ke Museum Kota Lama ini bersama DPC HPI Kota Semarang. Kami dipandu oleh Mbak yang manis yang sayangnya saya lupa namanya. Penjelasannya sangat bagus sekali walau ada 1-2 info yang perlu dikoreksi terkait sejarah masa lalu namun itu tidak fatal. Spirit pelayanannya sangat bagus, ramah, dan berusaha menjawab setiap pertanyaan dengan baik. Museumnya keren karena menggunakan multimedia (Audio Visual) agar lebih mudah memahami sejarah masa lalu Kota Lama Semarang. Sangat keren. Apalagi diakhir sesi ada lagunya yang keren. Tournya sekitar 1 jam dan sangat bagus serta recomended untuk dikunjungi. Terimakasih atas pelayanannya."
72,Museum Kota Lama,Agustin W,5.0,"(Translated by Google) Incoming text can be ordered via the Lumpia application which can be downloaded via the App Store It's still FREE, gaish... Urrraaa....!!!😄 Choose a schedule of days and sessions that are available every hour during operating hours. Starting from 09.00 - 15.00 WIB. 1 Account 1x reservation ticket can be for max 2 people. After filling out the complete reservation form, click Finish, a BARCODE for the booking sign will appear which will later be re-scanned and printed out of ticket paper by the officer before entering the Old City Museum lobby. Don't forget, before entering the lobby door, it is mandatory to scan Check - In Care to protect it, gaish... mandatory! The printed ticket has not been handed over to the customer service officer and visitors will be given shopping bags to carry footwear. After that, wait for the directions from the tour guide to start the room tour of the Old City Museum. (Original) Tikwt masuk bs di pesan lewat applikasi Lumpia yg bs di download via App Store Masih FREE ya gaish... Urrraaa.... !!!😄 Pilih jadwal hari dan sessi yg ada di setiap jam selama jam operasional. Dimulai dr jam 09.00 - 15.00 WIB. 1 Akun 1x tiket reservasi bs untuk max 2org. Setelah mengisi form rrservasi lengkap klik selesai, akan muncul BARCODE tanda booking yg nantinya akan di scan ulang dan di print out kertas tiket oleh petugas sebelum masuk lobby Museum Kota Lama. Jangan lupa Sebelum masuk pintu lobby wajib scan Check - In Peduli Lindungi ya gaish👌☺...wajib! Tiket yg adh tercetak td diserahkan ke petugas customer service dan pengunjung akan dibagikan shopping bag untuk menenteng alas kaki. Sesudah nya tunggu arahan dr tour guide untuk memulai room tour Museum Kota Lama."
73,Museum Kota Lama,Zahrah,4.0,"(Translated by Google) Gokil Semarang has a museum that is literally reachable It's a shame I didn't go inside yesterday because it was closed BUT that was fun because you can still play and take photos on the page. Clean, nice, the design is not old like a museum in general, but the shape of the building is minimalist, the brick accents also make it homey and great for taking pictures. Here is a fairly clean pool and a glass bridge! They both make it beautiful. There are lots of stairs so each step is not so high (it makes you not tired and makes you great for taking pictures). (Original) Gokil Semarang punya museum yang literally reachable 🤣 Sayang kemarin gak masuk ke dalam karena tutup TAPI that was fun karena tetep bisa main dan foto2 di halamannya. Bersih, bagus, designnya gak tua seperti museum pada umumnya tapi bentuk bangunannya minimalis, aksen batu batanya juga bikin homey dan bgs buat difoto. Berikut ada kolam yg cukup bersih lah dan jembatan kaca! Keduanya bikin cantik gitu loh. Anak tangganya banyak jd setiap anak tangga gak begitu tinggi (bikin gak capek dan bikin bgs buat difoto)."
74,Museum Kota Lama,Kenanga Art,5.0,"(Translated by Google) Hello.. @semarangpemkot has a new place called the old city museum, you know. Here besides you can see the relics of objects that have historical value. Here also in education about the history of the city of Semarang. We are not only spoiled by the decoration of the place. However, it is also presented with an attractive visual display. Oh yes, if you want to enter here, you must download the Lunpia application, then select the old city museum, and also fill in the participant's personal data after that a QR barcode will appear. Later we just scan the barcode to be exchanged for an entrance ticket. It's free here, including a friendly guide Come on, hurry up and register and enjoy the experience of exploring the city of Semarang from the past to the present (Original) Hallo.. @semarangpemkot punya tempat baru namanya museum kota lama lho. Disini selain kamu bisa melihat peninggalan benda yang memiliki nilai sejarah. Disini juga di edukasi mengenai sejarah kota semarang. Kita tidak hanya dimanjakan dengan dekorasi tempatnya. Namun, juga disuguhkan dengan tampilan visual yang menarik. Oh iya, kalo mau masuk kesini wajib download aplikasi lunpia, lalu pilih museum kota lama, dan juga isi data diri peserta setelah itu nanti akan muncul QR barcode. Nantinya kita tinggal scan barcode untuk ditukar dengan tiket masuk. Disini free lho include pemandu yang ramah Ayo buruan daftar dan nikmatin pengalaman untuk menjelajah kota semarang dari masa lalu hingga masa kini"
